00001 A00     0 Cholera                                                      Cholera
42188 S4390XA 1 Sprain of unsp parts of unsp shoulder girdle, init encntr    Sprain of unspecified parts of unspecified shoulder girdle, initial encounter
42189 S4390XD 1 Sprain of unsp parts of unsp shoulder girdle, subs encntr    Sprain of unspecified parts of unspecified shoulder girdle, subsequent encounter
42190 S4390XS 1 Sprain of unsp parts of unspecified shoulder girdle, sequela Sprain of unspecified parts of unspecified shoulder girdle, sequela
42191 S4391   0 Sprain of unspecified parts of right shoulder girdle         Sprain of unspecified parts of right shoulder girdle
42192 S4391XA 1 Sprain of unsp parts of right shoulder girdle, init encntr   Sprain of unspecified parts of right shoulder girdle, initial encounter
42193 S4391XD 1 Sprain of unsp parts of right shoulder girdle, subs encntr   Sprain of unspecified parts of right shoulder girdle, subsequent encounter
42194 S4391XS 1 Sprain of unsp parts of right shoulder girdle, sequela       Sprain of unspecified parts of right shoulder girdle, sequela
42195 S4392   0 Sprain of unspecified parts of left shoulder girdle          Sprain of unspecified parts of left shoulder girdle
42196 S4392XA 1 Sprain of unsp parts of left shoulder girdle, init encntr    Sprain of unspecified parts of left shoulder girdle, initial encounter
42197 S4392XD 1 Sprain of unsp parts of left shoulder girdle, subs encntr    Sprain of unspecified parts of left shoulder girdle, subsequent encounter
42198 S4392XS 1 Sprain of unspecified parts of left shoulder girdle, sequela Sprain of unspecified parts of left shoulder girdle, sequela
42199 S44     0 Injury of nerves at shoulder and upper arm level             Injury of nerves at shoulder and upper arm level
42200 S440    0 Injury of ulnar nerve at upper arm level                     Injury of ulnar nerve at upper arm level
42201 S4400   0 Injury of ulnar nerve at upper arm level, unspecified arm    Injury of ulnar nerve at upper arm level, unspecified arm
42202 S4400XA 1 Injury of ulnar nerve at upper arm level, unsp arm, init     Injury of ulnar nerve at upper arm level, unspecified arm, initial encounter
42203 S4400XD 1 Injury of ulnar nerve at upper arm level, unsp arm, subs     Injury of ulnar nerve at upper arm level, unspecified arm, subsequent encounter
42204 S4400XS 1 Injury of ulnar nerve at upper arm level, unsp arm, sequela  Injury of ulnar nerve at upper arm level, unspecified arm, sequela
42205 S4401   0 Injury of ulnar nerve at upper arm level, right arm          Injury of ulnar nerve at upper arm level, right arm
42206 S4401XA 1 Injury of ulnar nerve at upper arm level, right arm, init    Injury of ulnar nerve at upper arm level, right arm, initial encounter
42207 S4401XD 1 Injury of ulnar nerve at upper arm level, right arm, subs    Injury of ulnar nerve at upper arm level, right arm, subsequent encounter
42208 S4401XS 1 Injury of ulnar nerve at upper arm level, right arm, sequela Injury of ulnar nerve at upper arm level, right arm, sequela
42209 S4402   0 Injury of ulnar nerve at upper arm level, left arm           Injury of ulnar nerve at upper arm level, left arm
42210 S4402XA 1 Injury of ulnar nerve at upper arm level, left arm, init     Injury of ulnar nerve at upper arm level, left arm, initial encounter
42211 S4402XD 1 Injury of ulnar nerve at upper arm level, left arm, subs     Injury of ulnar nerve at upper arm level, left arm, subsequent encounter
42212 S4402XS 1 Injury of ulnar nerve at upper arm level, left arm, sequela  Injury of ulnar nerve at upper arm level, left arm, sequela
42213 S441    0 Injury of median nerve at upper arm level                    Injury of median nerve at upper arm level
42214 S4410   0 Injury of median nerve at upper arm level, unspecified arm   Injury of median nerve at upper arm level, unspecified arm
42215 S4410XA 1 Injury of median nerve at upper arm level, unsp arm, init    Injury of median nerve at upper arm level, unspecified arm, initial encounter
42216 S4410XD 1 Injury of median nerve at upper arm level, unsp arm, subs    Injury of median nerve at upper arm level, unspecified arm, subsequent encounter
42217 S4410XS 1 Injury of median nerve at upper arm level, unsp arm, sequela Injury of median nerve at upper arm level, unspecified arm, sequela
42218 S4411   0 Injury of median nerve at upper arm level, right arm         Injury of median nerve at upper arm level, right arm
42219 S4411XA 1 Injury of median nerve at upper arm level, right arm, init   Injury of median nerve at upper arm level, right arm, initial encounter
42220 S4411XD 1 Injury of median nerve at upper arm level, right arm, subs   Injury of median nerve at upper arm level, right arm, subsequent encounter
42221 S4411XS 1 Injury of median nrv at upper arm level, right arm, sequela  Injury of median nerve at upper arm level, right arm, sequela
42222 S4412   0 Injury of median nerve at upper arm level, left arm          Injury of median nerve at upper arm level, left arm
42223 S4412XA 1 Injury of median nerve at upper arm level, left arm, init    Injury of median nerve at upper arm level, left arm, initial encounter
42224 S4412XD 1 Injury of median nerve at upper arm level, left arm, subs    Injury of median nerve at upper arm level, left arm, subsequent encounter
42225 S4412XS 1 Injury of median nerve at upper arm level, left arm, sequela Injury of median nerve at upper arm level, left arm, sequela
42226 S442    0 Injury of radial nerve at upper arm level                    Injury of radial nerve at upper arm level
42227 S4420   0 Injury of radial nerve at upper arm level, unspecified arm   Injury of radial nerve at upper arm level, unspecified arm
42228 S4420XA 1 Injury of radial nerve at upper arm level, unsp arm, init    Injury of radial nerve at upper arm level, unspecified arm, initial encounter
42229 S4420XD 1 Injury of radial nerve at upper arm level, unsp arm, subs    Injury of radial nerve at upper arm level, unspecified arm, subsequent encounter
42230 S4420XS 1 Injury of radial nerve at upper arm level, unsp arm, sequela Injury of radial nerve at upper arm level, unspecified arm, sequela
42231 S4421   0 Injury of radial nerve at upper arm level, right arm         Injury of radial nerve at upper arm level, right arm
42232 S4421XA 1 Injury of radial nerve at upper arm level, right arm, init   Injury of radial nerve at upper arm level, right arm, initial encounter
42233 S4421XD 1 Injury of radial nerve at upper arm level, right arm, subs   Injury of radial nerve at upper arm level, right arm, subsequent encounter
42234 S4421XS 1 Injury of radial nrv at upper arm level, right arm, sequela  Injury of radial nerve at upper arm level, right arm, sequela
42235 S4422   0 Injury of radial nerve at upper arm level, left arm          Injury of radial nerve at upper arm level, left arm
42236 S4422XA 1 Injury of radial nerve at upper arm level, left arm, init    Injury of radial nerve at upper arm level, left arm, initial encounter
42237 S4422XD 1 Injury of radial nerve at upper arm level, left arm, subs    Injury of radial nerve at upper arm level, left arm, subsequent encounter
42238 S4422XS 1 Injury of radial nerve at upper arm level, left arm, sequela Injury of radial nerve at upper arm level, left arm, sequela
42239 S443    0 Injury of axillary nerve                                     Injury of axillary nerve
42240 S4430   0 Injury of axillary nerve, unspecified arm                    Injury of axillary nerve, unspecified arm
42241 S4430XA 1 Injury of axillary nerve, unspecified arm, initial encounter Injury of axillary nerve, unspecified arm, initial encounter
42242 S4430XD 1 Injury of axillary nerve, unspecified arm, subs encntr       Injury of axillary nerve, unspecified arm, subsequent encounter
42243 S4430XS 1 Injury of axillary nerve, unspecified arm, sequela           Injury of axillary nerve, unspecified arm, sequela
42244 S4431   0 Injury of axillary nerve, right arm                          Injury of axillary nerve, right arm
42245 S4431XA 1 Injury of axillary nerve, right arm, initial encounter       Injury of axillary nerve, right arm, initial encounter
42246 S4431XD 1 Injury of axillary nerve, right arm, subsequent encounter    Injury of axillary nerve, right arm, subsequent encounter
42247 S4431XS 1 Injury of axillary nerve, right arm, sequela                 Injury of axillary nerve, right arm, sequela
42248 S4432   0 Injury of axillary nerve, left arm                           Injury of axillary nerve, left arm
42249 S4432XA 1 Injury of axillary nerve, left arm, initial encounter        Injury of axillary nerve, left arm, initial encounter
42250 S4432XD 1 Injury of axillary nerve, left arm, subsequent encounter     Injury of axillary nerve, left arm, subsequent encounter
42251 S4432XS 1 Injury of axillary nerve, left arm, sequela                  Injury of axillary nerve, left arm, sequela
42252 S444    0 Injury of musculocutaneous nerve                             Injury of musculocutaneous nerve
42253 S4440   0 Injury of musculocutaneous nerve, unspecified arm            Injury of musculocutaneous nerve, unspecified arm
42254 S4440XA 1 Injury of musculocutaneous nerve, unsp arm, init encntr      Injury of musculocutaneous nerve, unspecified arm, initial encounter
42255 S4440XD 1 Injury of musculocutaneous nerve, unsp arm, subs encntr      Injury of musculocutaneous nerve, unspecified arm, subsequent encounter
42256 S4440XS 1 Injury of musculocutaneous nerve, unspecified arm, sequela   Injury of musculocutaneous nerve, unspecified arm, sequela
42257 S4441   0 Injury of musculocutaneous nerve, right arm                  Injury of musculocutaneous nerve, right arm
42258 S4441XA 1 Injury of musculocutaneous nerve, right arm, init encntr     Injury of musculocutaneous nerve, right arm, initial encounter
42259 S4441XD 1 Injury of musculocutaneous nerve, right arm, subs encntr     Injury of musculocutaneous nerve, right arm, subsequent encounter
42260 S4441XS 1 Injury of musculocutaneous nerve, right arm, sequela         Injury of musculocutaneous nerve, right arm, sequela
42261 S4442   0 Injury of musculocutaneous nerve, left arm                   Injury of musculocutaneous nerve, left arm
